I,Q
0.12238,0.91977
0.42689,0.13277
0.067579,-0.34749
-0.08171,0.16072
1.0593,0.3659
0.75051,1.2607
-0.075413,-0.28353
-0.35991,-1.1414
-1.2545,-0.10903
-0.5789,-0.11416
0.81149,0.59955
0.41604,0.66487
0.35206,-0.56341
1.0011,-0.39902
0.16756,-0.063744
-0.44021,-0.21664
0.17988,-0.1952
0.059041,0.084787
-0.49104,0.67997
0.357,0.31421
-0.013263,-0.15427
-1.4901,-0.02907
-0.90439,-1.0173
0.13435,-0.47318
0.40058,0.27929
0.39502,-0.39577
0.23324,0.30146
0.18983,0.29744
-0.097708,0.054064
-0.1409,0.89648
-0.31853,0.9203
-0.9272,0.77038
0.065562,0.53183
0.43076,-0.3771
-0.71835,-0.85313
-0.46641,-0.86282
0.0052533,-1.0682
-0.16317,-0.3105
0.06493,-0.11224
0.23842,-0.45995
0.37254,0.29589
0.43948,-0.064673
0.21249,0.09483
-0.56707,1.0815
-1.6181,0.18834
-0.51759,0.026637
0.53354,0.041885
-0.319,-0.73255
-0.15686,-0.25654
-0.053387,0.38438
-0.98849,0.57433
-0.97141,0.56124
-0.90246,0.77617
-0.67578,-0.0055922
0.93318,-0.48021
1.7057,0.39418
0.65612,-0.37995
-0.60975,-0.077749
0.098248,0.01477
1.3746,-1.2148
0.61659,-0.33409
-1.0687,-0.25216
-0.10269,-0.464
0.91801,0.36755
0.8985,-0.11838
0.97484,-0.026731
0.76377,-0.4793
0.44055,0.050359
-0.87875,0.81148
-0.073681,0.079409
1.7093,0.53922
0.6848,0.17751
-0.69349,0.03119
0.29006,0.43402
1.3386,-0.73255
1.3791,-0.24733
-0.16984,0.36348
-1.1641,-0.4664
